Date,Volume,Adj Close
2016-10-03,5834700,91.782652
2016-10-04,5903400,91.881885
2016-10-05,5365000,91.742957
2016-10-06,7484800,92.120055
2016-10-07,6144100,91.782652
2016-10-10,4241000,91.782652
2016-10-11,6651100,91.157473
2016-10-12,6836600,90.710917
2016-10-13,5725200,90.423134
2016-10-14,4345700,90.601758
2016-10-17,5134600,90.135351
2016-10-18,4890800,90.472747
2016-10-19,6140500,91.226937
2016-10-20,6153200,91.326171
2016-10-21,13814500,92.318523
2016-10-24,7281000,92.655926
2016-10-25,6380700,92.040665
2016-10-26,7152800,92.775004
2016-10-27,6647000,93.300949
2016-10-28,7309100,93.132251
